,City,Country,Lat,Lng,City_Name,Humidity,Max_Temp,Wind_Speed,Cloudiness,Date
0,ostrovnoy,RU,68.06,39.47,Ostrovnoy,81,45.41,16.33,0,1601435961
1,mahebourg,MU,-20.41,57.7,Mahébourg,83,71.6,11.41,75,1601435962
2,qaanaaq,GL,77.47,-69.23,Qaanaaq,80,12.33,6.96,2,1601435962
3,zhuhai,CN,22.27,113.58,Zhuhai,79,91.99,5.82,20,1601435962
4,cape town,ZA,-33.92,18.42,De Waterkant,76,53.6,10.29,17,1601435963
5,atuona,PF,-9.8,-139.04,Atuona,76,77.97,18.9,0,1601435963
6,flinders,AU,-35.02,138.57,Marion,77,62.01,14.99,90,1601435964
7,tiksi,RU,71.64,128.86,Tiksi,95,34.18,14.88,100,1601435964
8,pushkinskiye gory,RU,57.02,28.91,Pushkinskiye Gory,99,46.26,4.81,3,1601435964
9,aykhal,RU,65.94,111.49,Aykhal,79,24.8,6.71,90,1601435965
10,castro,CL,-42.48,-73.76,Castro,86,41,11.41,100,1601435965
11,avarua,CK,-21.21,-159.78,Avarua,78,78.8,25.28,41,1601435966
12,saskylakh,RU,71.95,114.12,Saskylakh,93,30.63,6.04,3,1601435966
13,albany,US,42.65,-73.76,Albany,95,57.99,0.67,100,1601435833
14,vilyuysk,RU,63.75,121.63,Vilyuysk,75,36.43,6.13,5,1601435967
15,ushuaia,AR,-54.8,-68.3,Ushuaia,80,33.8,21.92,75,1601435967
16,bambous virieux,MU,-20.34,57.76,Bambous Virieux,83,73,11.41,75,1601435967
17,kodinsk,RU,58.61,99.18,Kodinsk,83,34.68,5.01,0,1601435968
18,teknaf,BD,21.06,92.2,Teknāf,73,84.9,6.26,63,1601435968
19,busselton,AU,-33.65,115.35,Busselton,82,64,7,98,1601435968
20,ambon,FR,47.55,-2.56,Ambon,93,60.8,6.93,83,1601435828
21,maragogi,BR,-9.01,-35.22,Maragogi,80,74.19,8.41,28,1601435969
22,fallon,US,39.47,-118.78,Fallon,25,70,5.82,40,1601435969
23,kantang,TH,7.41,99.52,Kantang,79,84.2,1.9,20,1601435970
24,colonelganj,IN,27.13,81.7,Colonelganj,58,80.91,3.2,0,1601435970
25,punta arenas,CL,-53.16,-70.92,Punta Arenas,86,33.8,18.34,75,1601435970
26,rikitea,PF,-23.12,-134.97,Rikitea,78,69.78,22.55,76,1601435971
27,new norfolk,AU,-42.78,147.06,New Norfolk,63,66,3,100,1601435971
28,qingdao,CN,36.07,120.38,Qingdao,40,72,20.13,0,1601435972
29,port hardy,CA,50.71,-127.46,Port Hardy,100,55.4,2.24,40,1601435972
30,mamakan,RU,57.82,114.01,Mamakan,66,47.26,3.04,100,1601435972
31,bethel,US,41.37,-73.41,Bethel,100,70,5.82,90,1601435973
32,clinton,US,42.07,-84.01,Clinton,86,51.01,5.66,0,1601435973
33,varhaug,NO,58.61,5.65,Varhaug,98,53.01,10.47,89,1601435973
34,mayor pablo lagerenza,PY,-19.92,-60.78,Capitán Pablo Lagerenza,37,87.3,10.45,0,1601435974
35,hermanus,ZA,-34.41,19.25,Hermanus,94,46.99,1.88,40,1601435974
36,torbay,CA,47.66,-52.74,Torbay,1,64,3,1,1601435975
37,yellowknife,CA,62.45,-114.37,Yellowknife,86,41,6.93,40,1601435975
38,kruisfontein,ZA,-33.98,24.73,Kruisfontein,90,43.45,5.1,0,1601435975
39,puerto ayora,EC,-0.74,-90.32,Puerto Ayora,89,68,5.99,94,1601435976
40,rosita,NI,13.91,-84.4,Rosita,94,75.42,0.51,44,1601435976
41,beloha,MG,-25.17,45.06,Beloha,89,68.22,8.68,43,1601435977
42,port elizabeth,US,39.31,-74.97,Laurel Lake,94,72,8.05,90,1601435977
43,port alfred,ZA,-33.59,26.89,Port Alfred,76,52.84,4.72,15,1601435977
44,garchitorena,PH,13.86,123.64,Garchitorena,61,88.38,1.23,100,1601435978
45,kodiak,US,57.79,-152.41,Saint Paul Harbor,87,48.2,34.45,90,1601435978
46,mar del plata,AR,-38.01,-57.54,Mar del Plata,67,60.01,8.05,35,1601435978
47,cabo san lucas,MX,22.89,-109.92,Cabo San Lucas,58,87.8,8.05,5,1601435979
48,tiarei,PF,-17.54,-149.37,Tiarei,77,78.46,23.55,0,1601435979
49,khatanga,RU,71.96,102.44,Khatanga,98,30.36,17.22,100,1601435980
50,pisco,PE,-13.71,-76.18,Villa Tupac Amaru,82,62.6,12.75,22,1601435980
51,kolyvan,RU,55.31,82.74,Kolyvan',80,32,4.47,76,1601435980
52,hofn,IS,64.25,-15.2,Hofn,92,50.13,23.42,100,1601435981
53,bontang,ID,0.12,117.48,Bontang,72,82.94,5.35,73,1601435981
54,sault sainte marie,CA,46.51,-84.34,Sault Ste. Marie,87,51.8,4.7,90,1601435981
55,zhigansk,RU,66.75,123.39,Zhigansk,87,33.73,15.82,100,1601435982
56,thompson,CA,38.24,-122.28,Middleton,77,79,4.34,1,1601435982
57,pevek,RU,69.7,170.31,Pevek,72,39.99,17.92,100,1601435983
58,nanortalik,GL,60.14,-45.24,Nanortalik,80,34.45,16.51,0,1601435983
59,bilibino,RU,68.05,166.45,Bilibino,63,41.74,2.84,82,1601435984
60,dikson,RU,73.51,80.53,Dikson,80,36.21,15.03,98,1601435984
61,hambantota,LK,6.14,81.12,Hambantota,100,77,10.29,40,1601435985
62,beja,PT,38.02,-7.86,Beja,87,59,4.7,37,1601435985
63,ponta do sol,BR,32.68,-17.1,Ponta do Sol,73,69.8,9.17,75,1601435985
64,qasigiannguit,GL,68.82,-51.18,Qasigiannguit,63,28.4,8.05,91,1601435986
65,butaritari,KI,3.12,172.8,Tabonuea Village,75,82.62,13.73,45,1601435986
66,virginia beach,US,36.85,-75.98,Virginia Beach,92,75,19.57,100,1601435759
67,hobyo,SO,5.35,48.52,Hobyo,86,76.51,13.4,3,1601435987
68,saint george,GR,42.96,-85.67,Grand Rapids,87,53.01,5.82,75,1601435937
69,pontes e lacerda,BR,-15.23,-59.33,Pontes e Lacerda,48,79.21,1.92,0,1601435987
70,crotone,IT,39.08,17.13,Crotone,63,66.79,3.38,15,1601435988
71,baglung,NP,28.28,83.58,Darling,70,70.56,1.83,0,1601435988
72,raglan,NZ,-37.8,174.88,Raglan,73,59,15.99,55,1601435988
73,jamestown,AU,-33.21,138.6,Jamestown,58,60.93,16.75,65,1601435989
74,araouane,ML,18.9,-3.53,Araouane,16,91.98,0.98,7,1601435989
75,emerald,AU,-23.53,148.16,Emerald,41,79,16.11,1,1601435990
76,launceston,AU,-41.43,147.14,Newstead,71,55.4,19.46,90,1601435694
77,nikolskoye,RU,55.2,166.0,,95,47.19,11.99,100,1601435990
78,ambilobe,MG,-13.2,49.05,Ambilobe,85,71.38,3,0,1601435991
79,cidreira,BR,-30.18,-50.21,Cidreira,85,63.19,18.37,67,1601435991
80,ternate,PH,14.27,120.68,Ternate,79,91,10.29,20,1601435991
81,tarauaca,BR,-8.16,-70.77,Tarauacá,98,71.78,2.04,96,1601435992
