City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ostrovnoy,2,RU,1558378754,72,68.0603191,39.4740385,37.5,7.16
1,mahebourg,75,MU,1558378503,74,-20.4059505,57.7034222,78.8,11.41
2,qaanaaq,25,GL,1558378755,73,77.4670434,-69.2284827,22.2,2.37
3,zhuhai,0,CN,1558378755,39,22.270978,113.576677,44.6,4.47
4,cape town,20,ZA,1558378755,76,-33.9248685,18.4240553,55.99,8.05
5,atuona,78,PF,1558378755,76,-9.8028605,-139.0398069,81.96,16.49
6,flinders,0,AU,1558378755,62,-35.0244952,138.5713281,60.01,11.41
8,tiksi,95,RU,1558378756,88,71.637482,128.8644716,14.1,15.7
9,pushkinskiye gory,6,RU,1558378756,70,57.0224168,28.9128327,65.04,6.93
10,aykhal,90,RU,1558378756,48,65.941719,111.4881131,39.2,11.18
11,castro,0,CL,1558378756,70,-42.4801402,-73.7624137,48.2,9.17
12,avarua,100,CK,1558378756,94,-21.2065593,-159.7758407,71.6,2.24
13,saskylakh,0,RU,1558378757,91,71.954308,114.1198349,4.92,2.26
15,albany,40,US,1558378727,45,42.6525793,-73.7562317,82.4,12.75
16,vilyuysk,16,RU,1558378757,59,63.7464403,121.6276667,34.62,5.84
17,ushuaia,75,AR,1558378606,75,-54.8019121,-68.3029511,44.6,36.91
18,bambous virieux,75,MU,1558378758,74,-20.3438619,57.7636821,78.8,11.41
19,kodinsk,14,RU,1558378758,81,58.6076727,99.1779093,48.84,4.97
20,teknaf,1,BD,1558378758,85,21.0556654,92.2039933,84.66,8.23
21,busselton,84,AU,1558378758,63,-33.6531584,115.3454892,55,12.86
22,ambon,11,FR,1558378758,93,47.554993,-2.559785,64.99,5.82
23,maragogi,97,BR,1558378610,69,-9.0103626,-35.2208449,83.94,9.42
24,fallon,90,US,1558378758,53,39.4748693,-118.7770407,51.8,18.34
25,kantang,20,TH,1558378759,94,7.4062872,99.5172926,78.8,6.93
26,colonelganj,0,IN,1558378759,14,27.1301495,81.6995822,94.2,5.08
27,punta arenas,40,CL,1558378759,61,-53.1638329,-70.9170683,50,46.08
28,rikitea,95,PF,1558378669,76,-23.1223034,-134.9691543,74.58,12.82
29,new norfolk,40,AU,1558378759,66,-42.7828332,147.0593848,57.99,5.82
31,qingdao,0,CN,1558378760,54,36.067108,120.382609,59,2.24
32,port hardy,90,CA,1558378564,87,50.7123867,-127.460393,53.6,5.82
34,mamakan,26,RU,1558378760,90,57.8181289,114.0147135,31.38,2.82
35,bethel,20,US,1558378760,71,41.3712283,-73.4139621,51.8,4.68
36,clinton,75,US,1558378556,54,42.0719118,-84.0111239,55.4,10.29
37,varhaug,0,NO,1558378761,63,58.61471,5.6457295,64.99,8.05
39,mayor pablo lagerenza,43,PY,1558378761,33,-19.9210258,-60.7766392,91.86,14.9
40,hermanus,9,ZA,1558378761,74,-34.4092004,19.2504436,55,23.78
41,torbay,75,CA,1558378627,65,47.6580777,-52.7355238,48,24.16
42,yellowknife,75,CA,1558378762,26,62.4539717,-114.3717887,55.4,8.05
43,kruisfontein,92,ZA,1558378762,69,-33.9843356,24.732102,55.68,16.53
44,puerto ayora,26,EC,1558378762,86,-0.7432918,-90.3156893,79,5.99
45,rosita,72,NI,1558378762,71,13.9141369,-84.4015075,84.12,4.41
46,beloha,100,MG,1558378762,85,-25.1694494,45.0606557,70.08,10
47,port elizabeth,20,US,1558378762,46,39.3146827,-74.9749415,93,12.75
48,port alfred,67,ZA,1558378763,69,-33.5864065,26.8851448,61,8.01
49,garchitorena,59,PH,1558378763,75,13.8628124,123.6399562,84.3,6.11
50,kodiak,1,US,1558378763,63,57.79,-152.4072221,53.01,8.05
51,mar del plata,5,AR,1558378763,33,-38.0054771,-57.5426106,50.1,18.52
53,cabo san lucas,5,MX,1558378605,34,22.8905327,-109.9167371,91,11.41
54,tiarei,20,PF,1558378764,70,-17.5391608,-149.3714069,84.2,10.29
55,khatanga,10,RU,1558378764,92,71.964027,102.4406129,9.96,10.94
56,pisco,0,PE,1558378764,30,-13.7134562,-76.1841701,75.99,11.41
57,kolyvan,0,RU,1558378764,87,55.3051263,82.740727,48.2,4.47
58,hofn,90,IS,1558378764,81,64.2497026,-15.2020077,48.2,6.93
59,bontang,54,ID,1558378765,99,0.120863,117.4800445,74.22,2.62
60,sault sainte marie,1,CA,1558378765,61,46.5136494,-84.3357526,50,14.99
61,zhigansk,97,RU,1558378765,84,66.752064,123.3941119,27.24,8.77
62,thompson,75,CA,1558378765,35,38.23917,-122.28056,57.2,3.36
63,pevek,93,RU,1558378765,71,69.7029321,170.307033,26.16,4.65
64,nanortalik,29,GL,1558378766,72,60.1424955,-45.2394951,43.08,4.68
65,bilibino,93,RU,1558378766,89,68.0535995,166.448224,27.6,6.29
66,dikson,12,RU,1558378766,85,73.507735,80.5310301,20.22,12.15
67,hambantota,40,LK,1558378766,100,6.1428829,81.1212308,80.6,3.36
68,beja,20,PT,1558378766,49,38.0153039,-7.8627308,71.6,14.99
70,ponta do sol,0,BR,1558378767,57,32.6796393,-17.1030927,73.68,5.32
71,qasigiannguit,90,GL,1558378767,86,68.8219742,-51.1817888,33.8,4.7
72,butaritari,55,KI,1558378767,77,3.1166667,172.8,83.94,9.13
73,virginia beach,40,US,1558378597,48,36.8529263,-75.977985,91,10.29
74,hobyo,91,SO,1558378767,71,5.3515922,48.5249751,83.58,13.49
75,saint george,40,GR,1558378768,33,42.9568078,-85.6650289,75.2,11.41
76,pontes e lacerda,41,BR,1558378768,41,-15.2334749,-59.3285193,88.44,3.71
78,crotone,20,IT,1558378768,67,39.0807932,17.1271102,62.6,10.29
79,baglung,11,NP,1558378768,58,28.2774326,83.581615,54.24,2.66
80,raglan,99,NZ,1558378769,53,-37.8041003,174.8792929,48.99,1.99
81,jamestown,84,AU,1558378769,52,-33.205278,138.601944,54.78,5.86
83,araouane,77,ML,1558378769,18,18.904265,-3.5275161,100.14,15.1
84,emerald,0,AU,1558378770,82,-23.527291,148.164573,60.8,6.93
85,launceston,40,AU,1558378770,93,-41.4332215,147.1440875,55,14.99
86,nikolskoye,20,RU,1558378770,56,55.1981604,166.0015368,69.01,4.47
87,ambilobe,2,MG,1558378770,92,-13.2026069,49.0514094,74.76,4.52
88,cidreira,0,BR,1558378770,66,-30.1769388,-50.2089142,76.56,5.5
89,ternate,20,PH,1558378770,74,14.2714485,120.6775054,86,1.12
90,tarauaca,48,BR,1558378771,47,-8.1608977,-70.7652128,90.06,1.43
91,bella vista,62,AR,1558378771,80,36.481464,-94.2732642,75.66,7.29
92,xichang,19,CN,1558378771,91,27.894504,102.264449,49.74,2.46
93,antioch,40,US,1558378507,63,38.0049214,-121.805789,64.99,10.29
94,najran,75,SA,1558378772,77,17.5656036,44.2289441,69.8,11.41
95,agirish,100,RU,1558378772,88,61.9276281,63.016679,32.82,9.1
96,mataura,58,NZ,1558378772,88,-46.193922,168.8655083,48,1.99
97,katsuura,90,JP,1558378772,93,35.1522272,140.3208833,66.2,5.82
98,shalinskoye,66,RU,1558378772,63,55.7279446,93.768409,53.7,7.83
99,barrow,100,AR,1558378772,59,34.7209576,-92.3819068,59.64,13.38
100,sorong,95,ID,1558378773,93,-0.8761629,131.255828,77.28,2.01
101,kingston,75,CA,1558378724,63,44.2311717,-76.4859544,70,19.46
102,ketchikan,1,US,1558378684,76,55.3422222,-131.6461112,55.4,17.22
103,kapaa,20,US,1558378773,74,22.0881391,-159.3379818,80.6,10.29
104,mbigou,70,GA,1558378773,94,-1.9023377,11.9062829,72.6,1.63
105,yakeshi,100,CN,1558378774,48,49.285901,120.711735,46.86,20.31
106,hilo,40,US,1558378755,69,19.7241106,-155.0868193,79,4.7
107,whitehorse,40,CA,1558378774,36,60.7211871,-135.0568448,64,3.36
108,bonthe,63,SL,1558378774,70,7.5257028,-12.5039922,85.38,9.78
110,lompoc,75,US,1558378662,63,34.6391501,-120.4579409,66.99,12.75
111,port blair,99,IN,1558378774,71,11.6233774,92.7264828,85.2,7.18
112,bredasdorp,0,ZA,1558378775,62,-34.5385222,20.0568771,55,8.05
113,thinadhoo,100,MV,1558378775,76,0.531061,72.9977252,85.02,17
114,koumac,0,NC,1558378775,68,-20.549448,164.2707509,74.4,12.86
115,faanui,61,PF,1558378775,74,-16.4867378,-151.7429125,82.86,11.59
116,xam nua,100,LA,1558378775,98,20.3254175,104.1001326,67.38,2.17
117,east london,20,ZA,1558378775,72,-33.0291582,27.8545867,60.8,27.51
118,sao filipe,2,CV,1558378776,84,14.8951679,-24.4945636,72.96,16.91
119,deputatskiy,47,RU,1558378776,82,69.302603,139.9583829,8.52,3.31
120,chuy,96,UY,1558378776,91,-33.692754,-53.4552817,65.58,13.78
121,sitka,100,US,1558378776,98,57.0530556,-135.33,48.99,11.99
122,forio,75,IT,1558378777,77,40.7382914,13.8605512,62.6,6.93
123,russkaya polyana,100,RU,1558378777,80,53.778354,73.8754916,45.24,6.76
124,san felipe,37,CL,1558378777,95,-32.75,-70.7208115,51.01,1.01
125,arraial do cabo,0,BR,1558378491,78,-22.9673373,-42.0268099,84.2,4.7
126,margate,40,AU,1558378778,66,-27.243,153.1025,57.99,5.82
127,aklavik,75,CA,1558378563,50,68.219916,-135.0077881,55.4,3.09
128,lokosovo,100,RU,1558378778,68,61.131389,74.855278,44.52,9.17
129,paita,0,PE,1558378778,290,-5.0938488,-81.0962172,62.6,17.22
130,cravo norte,100,CO,1558378778,67,6.30435,-70.202659,85.02,3.09
131,motygino,85,RU,1558378778,84,58.1816803,94.7047756,49.2,5.23
132,west wendover,40,US,1558378779,66,40.739097,-114.073345,51.8,4.7
133,adrar,40,DZ,1558378779,17,28.0174403,-0.2642497,89.6,28.86
134,melfi,20,IT,1558378779,87,40.9933137,15.6531089,59,10.29
135,kibaya,75,RW,1558378779,88,-2.2804602,30.5466187,66.2,3.36
136,iqaluit,90,CA,1558378780,86,63.746693,-68.5169669,33.8,6.93
137,lavrentiya,31,RU,1558378780,95,65.583549,-171.0389249,28.32,6.4
138,morondava,0,MG,1558378780,69,-20.2904186,44.2999955,79.08,9.06
139,vaini,0,IN,1558378780,88,-21.1935,-175.1751534,78.9,1.59
140,georgetown,75,GY,1558378612,83,6.8012793,-58.1551255,82.4,11.41
141,sanchazi,0,CN,1558378781,82,42.073017,126.602655,64.4,2.24
142,sarai mir,0,IN,1558378781,35,26.0052917,82.9447782,86,3.36
143,yichun,89,CN,1558378781,98,27.815743,114.416785,41.64,3.58
144,plainview,40,US,1558378590,37,34.1847936,-101.7068417,84.99,18.34
